order_id,order_date,customer_id,product_id,product_category,region,channel,salesperson,quantity,unit_price,discount,unit_cost,sales_amount,total_cost,profit,tax,payment_type,is_returned,gross_revenue,margin_pct
ORD100041,28-02-2025,CUST1208,PROD219,Grocery,Central,Retail,SP_28,3,1740.59,0,830.32,5221.77,2490.96,2730.81,626.61,Credit Card,0,5848.38,0.523
ORD100042,09-10-2023,CUST1525,PROD345,Sports,East,Partner,SP_21,2,265.65,0,158.45,531.3,316.9,214.4,0,Cash,0,531.3,0.4035
ORD100043,21-01-2022,CUST1520,PROD259,Clothing,West,Retail,SP_16,3,1582.07,0.05,814.23,4508.9,2442.69,2066.21,0,Credit Card,0,4508.9,0.4583
ORD100044,20-04-2024,CUST1551,PROD390,Electronics,East,Partner,SP_21,4,254.02,0,195.46,1016.08,781.84,234.24,50.8,Debit Card,0,1066.88,0.2305
ORD100045,16-06-2022,CUST1236,PROD333,Grocery,North,Retail,SP_4,3,1589.45,0.15,1097,4053.1,3291,762.1,486.37,Net 30,0,4539.47,0.188
ORD100046,21-07-2025,CUST1280,PROD359,Grocery,North,Partner,SP_1,2,555.16,0,285.76,1110.32,571.52,538.8,133.24,Credit Card,1,1243.56,0.4853
ORD100047,23-01-2023,CUST1358,PROD292,Electronics,East,Partner,SP_30,5,1754.8,0,796.96,8774,3984.8,4789.2,1052.88,UPI,0,9826.88,0.5458
ORD100048,24-08-2023,CUST1200,PROD242,Beauty,West,Online,SP_26,6,1888.36,0,1536.5,11330.16,9219,2111.16,1359.62,Credit Card,0,12689.78,0.1863
ORD100049,12-11-2022,CUST1757,PROD329,Toys,North,Retail,SP_24,2,301.85,0,159.77,603.7,319.54,284.16,30.18,Debit Card,0,633.88,0.4707
ORD100050,14-01-2022,CUST1277,PROD259,Sports,North,Retail,SP_19,3,928.04,0,670.78,2784.12,2012.34,771.78,501.14,UPI,0,3285.26,0.2772
ORD100051,30-08-2022,CUST1234,PROD350,Toys,Central,Online,SP_2,3,1962.07,0,1180.41,5886.21,3541.23,2344.98,0,UPI,0,5886.21,0.3984
ORD100052,16-02-2024,CUST1493,PROD230,Grocery,South,Partner,SP_9,3,969.4,0.05,691.64,2762.79,2074.92,687.87,331.53,Credit Card,0,3094.32,0.249
ORD100053,19-07-2023,CUST1003,PROD204,Sports,North,Partner,SP_23,3,1727.78,0,1022.92,5183.34,3068.76,2114.58,933,Debit Card,0,6116.34,0.408
ORD100054,16-06-2024,CUST1665,PROD361,Grocery,West,Online,SP_25,3,1179.52,0.2,576.93,2830.85,1730.79,1100.06,509.55,UPI,0,3340.4,0.3886
ORD100055,02-04-2022,CUST1441,PROD209,Clothing,West,Online,SP_13,2,753.78,0.05,414.83,1432.18,829.66,602.52,71.61,Net 30,0,1503.79,0.4207
ORD100056,13-08-2024,CUST1028,PROD288,Clothing,Central,Wholesale,SP_18,5,575.14,0.1,307.49,2588.13,1537.45,1050.68,129.41,Wallet,0,2717.54,0.406
ORD100057,24-05-2023,CUST1108,PROD329,Electronics,West,Partner,SP_16,4,410.43,0,263.75,1641.72,1055,586.72,197.01,Net 30,0,1838.73,0.3574
ORD100058,15-02-2024,CUST1609,PROD325,Sports,Central,Wholesale,SP_16,1,1524.79,0,1137.84,1524.79,1137.84,386.95,0,Cash,0,1524.79,0.2538
ORD100059,04-02-2022,CUST1726,PROD210,Sports,North,Retail,SP_25,3,776.15,0,441.41,2328.45,1324.23,1004.22,419.12,Cash,0,2747.57,0.4313
ORD100060,25-07-2022,CUST1074,PROD377,Grocery,North,Wholesale,SP_10,3,1024.99,0.05,466.81,2921.22,1400.43,1520.79,350.55,Debit Card,0,3271.77,0.5206
ORD100061,09-01-2025,CUST1145,PROD358,Toys,North,Online,SP_9,5,987.19,0.15,674.77,4195.56,3373.85,821.71,503.47,UPI,0,4699.03,0.1959
ORD100062,22-10-2024,CUST1127,PROD255,Clothing,North,Online,SP_11,3,1156.67,0,835.8,3470.01,2507.4,962.61,173.5,Net 30,0,3643.51,0.2774
ORD100063,18-10-2024,CUST1041,PROD282,Home & Kitchen,South,Online,SP_25,2,1731.83,0,1529.71,3463.66,3059.42,404.24,415.64,Net 30,1,3879.3,0.1167
ORD100064,20-07-2023,CUST1355,PROD336,Electronics,South,Online,SP_26,4,1961.57,0.15,1403.04,6669.34,5612.16,1057.18,800.32,Wallet,0,7469.66,0.1585
ORD100065,03-02-2025,CUST1040,PROD298,Sports,North,Wholesale,SP_29,4,818.13,0,541.62,3272.52,2166.48,1106.04,589.05,Debit Card,0,3861.57,0.338
ORD100066,04-12-2023,CUST1033,PROD348,Beauty,West,Wholesale,SP_26,4,1655.9,0.05,1172.43,6292.42,4689.72,1602.7,0,UPI,0,6292.42,0.2547
ORD100067,06-02-2023,CUST1016,PROD272,Beauty,Central,Wholesale,SP_4,4,1530.23,0.05,1327.56,5814.87,5310.24,504.63,0,Debit Card,0,5814.87,0.0868
ORD100068,31-12-2023,CUST1676,PROD355,Home & Kitchen,East,Online,SP_10,3,1149.19,0.1,945.52,3102.81,2836.56,266.25,155.14,Credit Card,0,3257.95,0.0858
ORD100069,11-06-2022,CUST1152,PROD389,Clothing,Central,Online,SP_3,5,1912.31,0,1138.48,9561.55,5692.4,3869.15,478.08,Net 30,0,10039.63,0.4047
ORD100070,21-07-2022,CUST1377,PROD314,Clothing,East,Partner,SP_6,2,404.95,0,225.46,809.9,450.92,358.98,97.19,Debit Card,0,907.09,0.4432
ORD100071,22-09-2024,CUST1587,PROD206,Clothing,East,Partner,SP_3,4,222.98,0.05,126.69,847.32,506.76,340.56,152.52,Debit Card,0,999.84,0.4019
ORD100072,27-09-2022,CUST1598,PROD279,Toys,North,Online,SP_27,3,1708.65,0.2,1156.74,4100.76,3470.22,630.54,205.04,Wallet,0,4305.8,0.1538
ORD100073,26-03-2024,CUST1628,PROD343,Grocery,East,Partner,SP_9,5,881.1,0,691.51,4405.5,3457.55,947.95,792.99,Credit Card,0,5198.49,0.2152
ORD100074,18-07-2025,CUST1341,PROD296,Beauty,North,Retail,SP_3,1,1694.7,0,1146.38,1694.7,1146.38,548.32,0,Cash,0,1694.7,0.3235
ORD100075,01-04-2023,CUST1026,PROD203,Clothing,South,Retail,SP_18,3,1786.71,0.05,858.53,5092.12,2575.59,2516.53,254.61,Net 30,0,5346.73,0.4942
ORD100076,29-06-2025,CUST1286,PROD203,Beauty,West,Online,SP_8,2,129.6,0.15,100.52,220.32,201.04,19.28,0,Wallet,0,220.32,0.0875
ORD100077,13-10-2024,CUST1645,PROD302,Home & Kitchen,East,Wholesale,SP_22,2,1767.51,0.1,1436.43,3181.52,2872.86,308.66,159.08,Debit Card,0,3340.6,0.097
ORD100078,23-10-2022,CUST1730,PROD239,Electronics,West,Retail,SP_8,3,899.4,0.2,521.9,2158.56,1565.7,592.86,388.54,Net 30,0,2547.1,0.2747
ORD100079,21-12-2023,CUST1167,PROD216,Grocery,North,Retail,SP_15,2,1023.31,0,766.31,2046.62,1532.62,514,0,Cash,0,2046.62,0.2511
ORD100080,04-12-2022,CUST1609,PROD300,Toys,East,Wholesale,SP_13,4,1255.05,0,805.7,5020.2,3222.8,1797.4,602.42,Debit Card,0,5622.62,0.358
ORD100081,28-05-2024,CUST1267,PROD302,Sports,Central,Partner,SP_7,7,1853.13,0.05,1575.35,12323.31,11027.45,1295.86,1478.8,Credit Card,0,13802.11,0.1052
ORD100082,12-12-2024,CUST1748,PROD323,Home & Kitchen,South,Wholesale,SP_19,4,43.14,0.1,35.82,155.3,143.28,12.02,27.95,Net 30,0,183.25,0.0774
ORD100083,02-03-2024,CUST1454,PROD251,Grocery,South,Partner,SP_8,5,956.3,0,656.45,4781.5,3282.25,1499.25,239.08,Wallet,0,5020.58,0.3136
ORD100084,05-08-2022,CUST1684,PROD251,Beauty,East,Partner,SP_10,5,1377.01,0,1048.15,6885.05,5240.75,1644.3,344.25,Credit Card,0,7229.3,0.2388
ORD100085,03-02-2024,CUST1400,PROD363,Home & Kitchen,South,Wholesale,SP_17,4,1446.8,0.1,1226.17,5208.48,4904.68,303.8,0,Cash,0,5208.48,0.0583
ORD100086,07-07-2022,CUST1475,PROD323,Sports,Central,Partner,SP_1,3,1386.6,0,933.28,4159.8,2799.84,1359.96,499.18,Cash,0,4658.98,0.3269
ORD100087,15-01-2023,CUST1701,PROD365,Grocery,West,Retail,SP_13,2,273.2,0,161.45,546.4,322.9,223.5,27.32,Net 30,0,573.72,0.409
ORD100088,08-05-2023,CUST1633,PROD377,Toys,Central,Online,SP_29,2,602.29,0.05,475.3,1144.35,950.6,193.75,205.98,Cash,0,1350.33,0.1693
ORD100089,30-11-2024,CUST1557,PROD262,Electronics,South,Partner,SP_26,5,720.64,0.05,395.65,3423.04,1978.25,1444.79,410.76,UPI,0,3833.8,0.4221
ORD100090,26-03-2025,CUST1575,PROD315,Sports,West,Retail,SP_13,6,1609.85,0.1,1005.9,8693.19,6035.4,2657.79,1043.18,Wallet,0,9736.37,0.3057
ORD100091,15-01-2022,CUST1129,PROD390,Grocery,Central,Wholesale,SP_24,2,561.13,0,471.11,1122.26,942.22,180.04,134.67,Net 30,0,1256.93,0.1604
ORD100092,06-03-2022,CUST1362,PROD261,Toys,North,Partner,SP_16,4,425.36,0.05,330.08,1616.37,1320.32,296.05,0,UPI,0,1616.37,0.1832
ORD100093,05-06-2023,CUST1704,PROD206,Beauty,North,Retail,SP_29,3,1915.11,0.05,1209.8,5458.06,3629.4,1828.66,654.97,Cash,0,6113.03,0.335
ORD100094,26-02-2025,CUST1692,PROD354,Sports,West,Partner,SP_9,2,22.68,0.05,12.4,43.09,24.8,18.29,7.76,Net 30,0,50.85,0.4245
ORD100095,10-10-2023,CUST1291,PROD291,Home & Kitchen,West,Wholesale,SP_10,3,1995.65,0.05,1217.72,5687.6,3653.16,2034.44,1023.77,UPI,0,6711.37,0.3577
ORD100096,22-12-2024,CUST1370,PROD213,Clothing,West,Online,SP_6,2,1355.26,0,783.13,2710.52,1566.26,1144.26,487.89,Cash,0,3198.41,0.4222
ORD100097,08-03-2025,CUST1793,PROD398,Home & Kitchen,North,Partner,SP_5,3,1657.8,0,877.37,4973.4,2632.11,2341.29,895.21,Debit Card,0,5868.61,0.4708
ORD100098,16-08-2023,CUST1028,PROD285,Beauty,Central,Online,SP_2,2,592.77,0,465.03,1185.54,930.06,255.48,59.28,Debit Card,0,1244.82,0.2155
ORD100099,27-01-2023,CUST1148,PROD332,Grocery,West,Partner,SP_11,1,33.56,0,18.91,33.56,18.91,14.65,1.68,Credit Card,0,35.24,0.4365
ORD100100,23-02-2023,CUST1778,PROD382,Electronics,North,Partner,SP_9,3,1477.05,0.05,966.55,4209.59,2899.65,1309.94,0,Debit Card,0,4209.59,0.3112
ORD100101,16-10-2022,CUST1295,PROD329,Sports,West,Wholesale,SP_6,2,1669.12,0.1,1040.92,3004.42,2081.84,922.58,150.22,UPI,0,3154.64,0.3071
ORD100102,14-01-2023,CUST1010,PROD261,Grocery,West,Partner,SP_8,3,1482.25,0.1,1322.07,4002.08,3966.21,35.87,200.1,Wallet,0,4202.18,0.009
ORD100103,19-08-2022,CUST1511,PROD348,Electronics,West,Retail,SP_9,4,289.99,0.1,181.53,1043.96,726.12,317.84,125.28,Debit Card,0,1169.24,0.3045
ORD100104,14-10-2024,CUST1675,PROD278,Beauty,North,Retail,SP_9,1,1508.09,0,732.92,1508.09,732.92,775.17,180.97,Net 30,0,1689.06,0.514
ORD100105,10-02-2022,CUST1112,PROD348,Sports,Central,Online,SP_8,1,1539,0,754.76,1539,754.76,784.24,277.02,Net 30,0,1816.02,0.5096
ORD100106,17-11-2024,CUST1186,PROD337,Toys,North,Online,SP_12,3,1318.79,0,944.04,3956.37,2832.12,1124.25,474.76,Net 30,0,4431.13,0.2842
ORD100107,15-05-2022,CUST1743,PROD257,Toys,North,Retail,SP_26,2,1533.4,0,1103.61,3066.8,2207.22,859.58,552.02,Debit Card,0,3618.82,0.2803
ORD100108,20-07-2022,CUST1226,PROD319,Grocery,West,Online,SP_8,3,1692.61,0,1080.63,5077.83,3241.89,1835.94,0,Debit Card,0,5077.83,0.3616
ORD100109,19-02-2024,CUST1309,PROD366,Home & Kitchen,East,Online,SP_3,5,1229.14,0.05,791.97,5838.42,3959.85,1878.57,0,Credit Card,0,5838.42,0.3218
ORD100110,18-07-2024,CUST1097,PROD332,Grocery,East,Retail,SP_13,4,181.77,0.2,86.21,581.66,344.84,236.82,69.8,Wallet,0,651.46,0.4071
ORD100111,22-11-2024,CUST1054,PROD264,Home & Kitchen,East,Retail,SP_19,2,977.82,0,667.31,1955.64,1334.62,621.02,97.78,Wallet,0,2053.42,0.3176
ORD100112,07-12-2024,CUST1622,PROD212,Beauty,North,Retail,SP_2,4,159.91,0,108.28,639.64,433.12,206.52,31.98,Cash,0,671.62,0.3229
ORD100113,18-05-2023,CUST1663,PROD380,Toys,West,Wholesale,SP_17,4,818.05,0.1,423.17,2944.98,1692.68,1252.3,147.25,Credit Card,0,3092.23,0.4252
ORD100114,11-02-2023,CUST1757,PROD281,Sports,East,Wholesale,SP_16,4,817.18,0,405.92,3268.72,1623.68,1645.04,163.44,UPI,0,3432.16,0.5033
ORD100115,15-03-2024,CUST1405,PROD372,Toys,South,Retail,SP_4,3,136.69,0.1,69.11,369.06,207.33,161.73,44.29,Net 30,0,413.35,0.4382
ORD100116,09-04-2022,CUST1068,PROD359,Home & Kitchen,South,Partner,SP_18,3,700.9,0.1,347.27,1892.43,1041.81,850.62,227.09,Debit Card,0,2119.52,0.4495
ORD100117,15-11-2023,CUST1311,PROD363,Grocery,South,Retail,SP_14,3,226.44,0.2,164.03,543.46,492.09,51.37,65.22,Cash,0,608.68,0.0945
ORD100118,27-12-2023,CUST1288,PROD387,Beauty,Central,Wholesale,SP_30,4,1617.43,0,870.85,6469.72,3483.4,2986.32,776.37,Cash,0,7246.09,0.4616
ORD100119,18-08-2024,CUST1761,PROD338,Toys,West,Online,SP_2,2,1895.64,0.05,1067.52,3601.72,2135.04,1466.68,180.09,Debit Card,0,3781.81,0.4072
ORD100120,05-09-2023,CUST1547,PROD390,Beauty,North,Partner,SP_13,3,149.27,0,78.83,447.81,236.49,211.32,22.39,Credit Card,0,470.2,0.4719
ORD100121,05-10-2023,CUST1750,PROD348,Toys,North,Partner,SP_27,1,1910.45,0.05,1683.16,1814.93,1683.16,131.77,90.75,Cash,0,1905.68,0.0726
ORD100122,25-10-2024,CUST1147,PROD251,Grocery,West,Online,SP_27,1,1047.54,0,874.25,1047.54,874.25,173.29,52.38,Wallet,0,1099.92,0.1654
ORD100123,26-05-2025,CUST1466,PROD382,Electronics,Central,Partner,SP_21,3,602.63,0,333.69,1807.89,1001.07,806.82,216.95,Credit Card,0,2024.84,0.4463
ORD100124,18-05-2023,CUST1738,PROD316,Grocery,West,Online,SP_20,5,158.34,0.05,94.59,752.12,472.95,279.17,90.25,Debit Card,0,842.37,0.3712
ORD100125,06-02-2024,CUST1243,PROD225,Toys,Central,Wholesale,SP_17,2,1003.75,0.05,546.49,1907.12,1092.98,814.14,228.85,Credit Card,0,2135.97,0.4269
ORD100126,02-02-2023,CUST1490,PROD395,Home & Kitchen,East,Partner,SP_15,4,1590.06,0.1,1067.48,5724.22,4269.92,1454.3,286.21,Wallet,0,6010.43,0.2541
ORD100127,20-05-2024,CUST1506,PROD233,Grocery,East,Partner,SP_25,3,1415.64,0.1,649.53,3822.23,1948.59,1873.64,458.67,Net 30,0,4280.9,0.4902
ORD100128,05-03-2024,CUST1364,PROD251,Sports,Central,Online,SP_30,4,105.2,0.05,79.12,399.76,316.48,83.28,47.97,Debit Card,0,447.73,0.2083
ORD100129,28-01-2023,CUST1481,PROD311,Home & Kitchen,West,Online,SP_20,1,150.44,0,103.11,150.44,103.11,47.33,18.05,Wallet,0,168.49,0.3146
ORD100130,26-07-2022,CUST1200,PROD281,Home & Kitchen,East,Wholesale,SP_5,6,808.73,0.1,690.97,4367.14,4145.82,221.32,524.06,Debit Card,0,4891.2,0.0507
ORD100131,04-11-2024,CUST1153,PROD379,Home & Kitchen,West,Online,SP_7,4,594.1,0.05,311.29,2257.58,1245.16,1012.42,270.91,Wallet,0,2528.49,0.4485
ORD100132,10-06-2024,CUST1449,PROD356,Beauty,East,Online,SP_18,3,468.61,0.15,380.44,1194.96,1141.32,53.64,143.4,Wallet,0,1338.36,0.0449
ORD100133,13-05-2024,CUST1500,PROD365,Clothing,West,Wholesale,SP_24,4,565.6,0.15,456.09,1923.04,1824.36,98.68,230.76,Cash,0,2153.8,0.0513
ORD100134,13-01-2024,CUST1072,PROD241,Clothing,West,Retail,SP_11,6,1607.95,0,815.6,9647.7,4893.6,4754.1,482.39,Cash,0,10130.09,0.4928
ORD100135,18-06-2025,CUST1712,PROD220,Electronics,South,Retail,SP_18,2,1858.81,0.1,1169.85,3345.86,2339.7,1006.16,401.5,Cash,0,3747.36,0.3007
ORD100136,18-07-2023,CUST1295,PROD241,Home & Kitchen,Central,Online,SP_27,4,813.18,0,428.2,3252.72,1712.8,1539.92,162.64,Net 30,0,3415.36,0.4734
ORD100137,17-10-2024,CUST1016,PROD340,Clothing,North,Wholesale,SP_26,4,1812.69,0,1023.49,7250.76,4093.96,3156.8,0,Net 30,0,7250.76,0.4354
ORD100138,06-04-2022,CUST1640,PROD312,Electronics,Central,Retail,SP_5,3,646.38,0.05,367.44,1842.18,1102.32,739.86,331.59,Wallet,0,2173.77,0.4016
ORD100139,30-04-2023,CUST1216,PROD304,Beauty,West,Wholesale,SP_13,4,955.49,0,669.14,3821.96,2676.56,1145.4,687.95,UPI,0,4509.91,0.2997
ORD100140,19-08-2022,CUST1060,PROD391,Home & Kitchen,West,Online,SP_28,4,455.93,0.1,289.58,1641.35,1158.32,483.03,0,Debit Card,0,1641.35,0.2943
ORD100141,19-01-2024,CUST1615,PROD216,Sports,Central,Online,SP_18,3,1282.75,0,1124.3,3848.25,3372.9,475.35,461.79,Cash,0,4310.04,0.1235
ORD100142,09-04-2025,CUST1041,PROD319,Beauty,West,Wholesale,SP_2,3,1958.07,0,992.48,5874.21,2977.44,2896.77,293.71,Debit Card,0,6167.92,0.4931
ORD100143,25-06-2023,CUST1024,PROD336,Electronics,East,Partner,SP_20,3,1208.97,0.05,1073.76,3445.56,3221.28,224.28,413.47,Wallet,0,3859.03,0.0651
ORD100144,25-11-2024,CUST1038,PROD368,Beauty,West,Online,SP_4,2,718.84,0.1,398.08,1293.91,796.16,497.75,232.9,Credit Card,0,1526.81,0.3847
ORD100145,09-06-2023,CUST1130,PROD328,Sports,Central,Online,SP_13,2,1297.4,0.15,1035.06,2205.58,2070.12,135.46,397,Wallet,0,2602.58,0.0614
ORD100146,29-03-2025,CUST1497,PROD329,Beauty,Central,Online,SP_24,5,250.23,0.1,150.77,1126.03,753.85,372.18,135.12,Net 30,0,1261.15,0.3305
ORD100147,20-06-2025,CUST1228,PROD259,Electronics,Central,Online,SP_29,2,1777.87,0.05,914.51,3377.95,1829.02,1548.93,168.9,UPI,0,3546.85,0.4585
ORD100148,14-01-2025,CUST1107,PROD247,Sports,South,Wholesale,SP_16,1,1008.65,0,843.28,1008.65,843.28,165.37,121.04,Credit Card,0,1129.69,0.164
ORD100149,01-08-2023,CUST1171,PROD228,Sports,South,Wholesale,SP_6,2,901.45,0,530.94,1802.9,1061.88,741.02,90.15,Debit Card,0,1893.05,0.411
ORD100150,13-11-2023,CUST1434,PROD296,Beauty,South,Wholesale,SP_26,4,1173.8,0,876.22,4695.2,3504.88,1190.32,845.14,Net 30,0,5540.34,0.2535
ORD100151,11-07-2023,CUST1477,PROD209,Sports,South,Wholesale,SP_8,4,1251.44,0.05,882.14,4755.47,3528.56,1226.91,855.98,Cash,0,5611.45,0.258
ORD100152,09-10-2024,CUST1101,PROD257,Grocery,South,Partner,SP_16,5,148.19,0.05,98.14,703.9,490.7,213.2,84.47,Credit Card,0,788.37,0.3029
ORD100153,08-10-2023,CUST1523,PROD387,Beauty,South,Wholesale,SP_13,1,1366.82,0,920.03,1366.82,920.03,446.79,68.34,Net 30,0,1435.16,0.3269
ORD100154,06-03-2024,CUST1274,PROD220,Home & Kitchen,South,Wholesale,SP_23,4,487.65,0.1,380.13,1755.54,1520.52,235.02,87.78,Debit Card,0,1843.32,0.1339
